ID,Name,Description,Group,Complexity,inScope,Comment,ParentClass,In Template
AdminIdentity,Admin Identity, ,TransactionalData,Low,,,User,Y
AdminUser,Admin User,"A data set of Back Office users, administrators of the system.",MasterData,Medium,,,User,Y
AdressData,Adress Data,Adress location information,MasterData,,,,Company,Y
Analytics,Analytic Dataset,"A set of data passed to analytics platform, depends on use case.",TransactionalData,,,,Transactional,Y
Case,Support Case,"A set of data passed to Support platform, depends on use case. May include case registration and following case related communication.",TransactionalData,Low,,,Communication,Y
Catalogue,Catalogue Data,Abstract catalogue information class,MasterData,,,,Data,Y
Chat,Live Chat,Data stream used by external Live Chat service.,TransactionalData,Low,,,Communication,Y
Company,Company,Legal entity representing an association of people with a specific objective,MasterData,,,,Object,Y
CustomerAccount,Company Customer Account,"Company account data set like company name, activity, status. Top level of every B2B business model hierarchy.",MasterData,Medium,,PB: Nie mamy encji na Company permissions and roles.,Persona,Y
CustomerAddress,Company Customer Adress,Addresses data and type for Company Account.,MasterData,Medium,,,AdressData,Y
CustomerBU,Company Customer Business Unit,Company Business Unit data and structure (hierarchy).,MasterData,Medium,,,Company,Y
CustomerConsent,Consent Dataset,,TransactionalData,,,,Transactional,Y
CustomerIdentity,Customer Identity,,TransactionalData,Low,,,Transactional,Y
CustomerRolesAndPermissions,Customer Roles and Permissions,Definittion of roles of custome users in context of eCommerce capabilities. In example Buyer or Approver,,,,,Company,
CustomerUser,Customer User,"A data set of particular user within a company, name, email, credentials (potentially) etc. OR An individual customer making purchase in B2C context",MasterData,Medium,,,User,Y
Data,Data element,Element of data,MasterData,,,,Object,Y
DiscountCoupon,Discount Coupon,A data set describing coupon codes. A discount itself is maintained separatly.,MasterData,,,,Pricing,Y
GoodsReceiptNote,Goods Receipt Note,,TransactionalData,,,,Transactional,Y
Interacton,User Interaction,User / Customer intaraction data showing how the customers are using the system,TransactionalData,Medium,,,Transactional,Y
Inventory,Inventory data,Inventory (stock) information,MasterData,,,,Catalogue,
InvoiceBinary,Invoice Binary,Binary data related to order invocing. Format depends on use case.,TransactionalData,,,,InvoiceData,Y
InvoiceData,Invoice,Data related to order invocing. Format depends on use case.,TransactionalData,Medium,,,Transactional,Y
Media,"Media, assets","Various types of binary data used as media assets, images, videos, PDFs, binaries, etc.",AssetData,Medium,,,Catalogue,Y
MerchantAccount,Merchant,Merchant/Seller account master data,MasterData,Medium,,,Persona,Y
MerchantSOH,Merchant's Stock On Hand,Quantity of goods or products that a business currently has physically available in its possession at a given moment.,MasterData,Low,yes,,Inventory,Y
MerchantUser,Merchant User,A personal account for Merchant User under Merchant Account,MasterData,Medium,,,User,Y
Message,Communication Message,"Human related communication messages like emails, SMS etc.",TransactionalData,,,This is not related with quque related messaging.,Communication,Y
Object,Object,Abstract object,MasterData,,,,,Y
