ID,Area,Feature,Description,PCB,System,Components,Default InScope
Analytics and Reporting-Google Tag Manager and GA4,Analytics and Reporting,Google Tag Manager and GA4,"The feature enables the main user, who is typically an eCommerce business owner or marketing manager, to access comprehensive reporting for their online store. The integration allows for easy connection and customization of the solution to meet specific business requirements as they grow over time. By leveraging this analytics solution, businesses can continuously improve their platform through meaningful data analysis that is tailored to their unique model.",Custom,Frontend,2,N
Analytics and Reporting-Dashboard,Analytics and Reporting,Dashboard,"The main user for this feature is a ecommerce manager, analyst or IT System Architect who needs to monitor the company's online sales performance. With the dashboard, they can easily view charts that display information such as the number of orders made within the last days, the statuses of existing orders, the top 10 most sold products, etc. These charts are updated in real-time as orders are processed through the Sales section, allowing for quick analysis and response to any trends or issues that arise. Overall, the dashboard feature provides a convenient and efficient way to stay informed about company's eCommerce performance.",Base,Backoffice,2,N
Analytics and Reporting-Generic Report,Analytics and Reporting,Generic Report,"Feature allows the main user, typically an eCommerce manager or analyst, to access comprehensive reports specifically tailored to their business model. May contain filtering, sorting, export to a file etc.",Custom,Backoffice,2,N
Analytics and Reporting-Dashboard in Merchant Portal,Analytics and Reporting,Dashboard in Merchant Portal,"The main user for this feature is a Merchant User who needs to monitor Merchant's online sales performance. With the dashboard, they can easily view charts that display information such as the number of orders made within the last days, the statuses of existing orders, the top 10 most sold products, etc. These charts are updated in real-time as orders are processed through the Sales section, allowing for quick analysis and response to any trends or issues that arise. Overall, the dashboard feature provides a convenient and efficient way to stay informed about Merchant performance.",Base,MerchantPortal,2,N
Analytics and Reporting-Customer Experience Management,Analytics and Reporting,Customer Experience Management,Feature allows to integrate eCommerce with Customer Experience Platform,Custom,Backoffice,3,N
Analytics and Reporting-Generic Marketplace Report,Analytics and Reporting,Generic Marketplace Report,"Feature allows Merchant User, to access comprehensive reports specifically tailored to their business model. May contain filtering, sorting, export to a file etc.",Custom,MerchantPortal,2,N
Cart & Checkout-Cart Functionality & Calculations,Cart & Checkout,Cart Functionality & Calculations,"The feature allows both registered customers and guest users to create and manage shopping carts. It enables them to add, remove, or modify products according to their preferences before proceeding to checkout. This feature is essential for both base shops with a single seller and marketplaces with multiple sellers, as it provides flexibility in the purchasing process and allows customers to efficiently organize their orders. With this feature, users can save and edit carts, apply discounts or promotions, and view order summaries before proceeding to checkout. The shopping cart is a virtual container that holds the selected products or services a customer intends to purchase.",Base,Frontend,4,N
Cart & Checkout-Cart page,Cart & Checkout,Cart page,"A web page where users can review and manage the items they have added to their shopping cart before proceeding to the checkout process.
User can manage items in terms of quantity, removal, adding notes, redeem discount codes. The page contains price totals, may contain merchandizing areas like cross-selling products, related products, similar products, banners etc.",Base,Frontend,2,N
Cart & Checkout-Multi Cart,Cart & Checkout,Multi Cart,"A feature that allows registered and logged-in users to create and manage multiple shopping carts simultaneously. This feature is designed to enhance flexibility and convenience for online shoppers, enabling them to organize and categorize items they intend to purchase in different ways.
Possible actions to manage shopping carts are: edit name, duplicate, share, dismiss, delete, switch cart to the Shopping List.",B2B,Frontend,2,N
Cart & Checkout-Persistent Cart Sharing,Cart & Checkout,Persistent Cart Sharing,"The Persistent Cart Sharing feature lets Company Users generate the URL to share the cart with different access levels.
Customers can share a Cart with users in their department or a lower ranking Business Unit.",B2B,Frontend,1,N
