ID,Entity,System From,System To,SystemsInScope,FeatureInScope,InScope,Usage#,Description,Method,Technology,Comments,Default InScope,In Template,flowchart TD,Name,Type,Complexity,NewMod,NoOfUnits,WP,Adjustor
AdminIdentity:Backoffice-ERP,AdminIdentity,Backoffice,ERP,Y,N,N,1,,Synchronization,,,N,Y,Backoffice[Back Office] --> |Admin Identity| ERP,AdminIdentity:Backoffice-ERP,commerce integration components,medium,new,1,WP 3,1
AdminUser:ERP-eCommerce,AdminUser,ERP,eCommerce,Y,N,N,1,,Synchronization,,,N,Y,ERP[SAP] --> |Admin User| eCommerce,AdminUser:ERP-eCommerce,commerce integration components,medium,new,1,WP 3,1
Interacton:Frontend-Analitics,Interacton,Frontend,Analitics,Y,Y,Y,1,,Synchronization,,Analytics-Analytics,N,Y,Frontend[Frontend] --> |User Interaction| Analitics,Interacton:Frontend-Analitics,commerce integration components,medium,new,1,WP 31,1
Case:Frontend-CRM,Case,Frontend,CRM,Y,N,N,2,,Presentation,,,N,Y,Frontend[Frontend] --> |Support Case| CRM,Case:Frontend-CRM,commerce integration components,simple,new,1,WP 3,1
Case:CRM-Frontend,Case,CRM,Frontend,Y,N,N,2,,Presentation,,,N,Y,CRM[Salesforce] --> |Support Case| Frontend,Case:CRM-Frontend,commerce integration components,simple,new,1,WP 3,1
Case:Frontend-Middleware,Case,Frontend,Middleware,Y,N,N,1,,Synchronization,,,N,Y,Frontend[Frontend] --> |Support Case| Middleware,Case:Frontend-Middleware,commerce integration components,medium,new,1,WP 3,1
Case:Middleware-CRM,Case,Middleware,CRM,Y,N,N,1,,Synchronization,,,N,Y,Middleware[Mulesoft] --> |Support Case| CRM,Case:Middleware-CRM,commerce integration components,medium,new,1,WP 10,1
Case:CRM-Middleware,Case,CRM,Middleware,Y,N,N,1,,Synchronization,,,N,Y,CRM[Salesforce] --> |Support Case| Middleware,Case:CRM-Middleware,commerce integration components,medium,new,1,WP 10,1
Case:Middleware-Frontend,Case,Middleware,Frontend,Y,N,N,1,,Synchronization,,,N,Y,Middleware[Mulesoft] --> |Support Case| Frontend,Case:Middleware-Frontend,commerce integration components,medium,new,1,WP 10,1
ProductCategory:eCommerce-GlueAPI,ProductCategory,eCommerce,GlueAPI,Y,N,N,1,,PublicAPI,,,N,Y,eCommerce[eCommerce] --> |Product Category| GlueAPI,ProductCategory:eCommerce-GlueAPI,commerce integration components,medium,new,1,WP 3,1
CustomerAccount:eCommerce-Middleware,CustomerAccount,eCommerce,Middleware,Y,Y,Y,1,Not in SFDC estimation,Synchronization,,"SFDC / SAP? ? GIS / Gravity?-Customer Corporate Structure?(Accounts, Business Units, Addreses)?",N,Y,eCommerce[eCommerce] --> |Company Customer Account| Middleware,CustomerAccount:eCommerce-Middleware,commerce integration components,medium,new,1,WP 31,1
ProductCategory:ERP-eCommerce,ProductCategory,ERP,eCommerce,Y,Y,N,1,,Synchronization,,,N,Y,ERP[SAP] --> |Product Category| eCommerce,ProductCategory:ERP-eCommerce,commerce integration components,medium,new,1,WP 3,1
ProductCategory:CSV-eCommerce,ProductCategory,CSV,eCommerce,Y,Y,N,1,Import standarized CSV via CLI. An OOTB feature.,Synchronization,,,Y,Y,CSV[CSV files] --> |Product Category| eCommerce,ProductCategory:CSV-eCommerce,commerce integration components,medium,new,1,WP 3,1
Chat:CRM-Frontend,Chat,CRM,Frontend,Y,N,N,1,,Presentation,,,N,Y,CRM[Salesforce] --> |Live Chat| Frontend,Chat:CRM-Frontend,commerce integration components,medium,new,1,WP 3,1
CustomerAccount:CRM-eCommerce,CustomerAccount,CRM,eCommerce,Y,Y,N,1,,Synchronization,,,N,Y,CRM[Salesforce] --> |Company Customer Account| eCommerce,CustomerAccount:CRM-eCommerce,commerce integration components,medium,new,1,WP 3,1
CustomerAccount:eCommerce-CRM,CustomerAccount,eCommerce,CRM,Y,Y,N,1,,Synchronization,,,N,Y,eCommerce[eCommerce] --> |Company Customer Account| CRM,CustomerAccount:eCommerce-CRM,commerce integration components,medium,new,1,WP 3,1
