FeatureId,FeatureInScope,ComponentType,ComponentId,ComponentExistsCheck
Analytics and Reporting-Customer Experience Management,Y,module,Analytics and Reporting-Customer Experience Management,Analytics and Reporting-Customer Experience Management
Analytics and Reporting-Customer Experience Management,Y,screen,Customer Experience Management,Customer Experience Management
Analytics and Reporting-Customer Experience Management,Y,flow,UserExperience:Frontend-Medallia,UserExperience:Frontend-Medallia
Analytics and Reporting-Dashboard,N,screen,BckAdmPanel,BckAdmPanel
Analytics and Reporting-Dashboard,N,module,Report-Dashboard,Report-Dashboard
Analytics and Reporting-Dashboard in Merchant Portal,N,screen,BckMerchantProfile,BckMerchantProfile
Analytics and Reporting-Dashboard in Merchant Portal,N,module,Report-Dashboard in Merchant Portal,Report-Dashboard in Merchant Portal
Analytics and Reporting-Generic Marketplace Report,N,screen,BckMerchantProfile,BckMerchantProfile
Analytics and Reporting-Generic Marketplace Report,N,module,Report-Generic Marketplace Report,Report-Generic Marketplace Report
Analytics and Reporting-Generic Report,Y,screen,BckAdmPanel,BckAdmPanel
Analytics and Reporting-Generic Report,Y,module,Report-Generic Report,Report-Generic Report
Analytics and Reporting-Google Tag Manager and GA4,Y,module,Analytics and Reporting-Google Tag Manager and GA4,Analytics and Reporting-Google Tag Manager and GA4
Analytics and Reporting-Google Tag Manager and GA4,Y,flow,Interacton:Frontend-Analitics,Interacton:Frontend-Analitics
Cart & Checkout-Approval Process,N,screen,Cart,Cart
Cart & Checkout-Approval Process,N,module,Cart & Checkout-Approval Process,Cart & Checkout-Approval Process
Cart & Checkout-Cart Functionality & Calculations,Y,module,Cart & Checkout-Cart Functionality & Calculations,Cart & Checkout-Cart Functionality & Calculations
Cart & Checkout-Cart Functionality & Calculations,Y,screen,Checkout,Checkout
Cart & Checkout-Cart Functionality & Calculations,Y,screen,MiniCart,MiniCart
Cart & Checkout-Cart Functionality & Calculations,Y,screen,Payment,Payment
Cart & Checkout-Cart page,Y,module,Cart & Checkout-Cart page,Cart & Checkout-Cart page
Cart & Checkout-Cart page,Y,screen,Cart,Cart
Cart & Checkout-Checkout step - customer,Y,module,Cart & Checkout-Checkout step - customer,Cart & Checkout-Checkout step - customer
Cart & Checkout-Checkout step - customer,Y,screen,Checkout,Checkout
Cart & Checkout-Checkout step - delivery & billing addresses,Y,module,Cart & Checkout-Checkout step - delivery & billing addresses,Cart & Checkout-Checkout step - delivery & billing addresses
Cart & Checkout-Checkout step - delivery & billing addresses,Y,screen,Checkout,Checkout
Cart & Checkout-Checkout step - payment,Y,module,Cart & Checkout-Checkout step - payment,Cart & Checkout-Checkout step - payment
Cart & Checkout-Checkout step - payment,Y,screen,Checkout,Checkout
Cart & Checkout-Checkout step - place order,Y,module,Cart & Checkout-Checkout step - place order,Cart & Checkout-Checkout step - place order
Cart & Checkout-Checkout step - place order,Y,screen,Checkout,Checkout
Cart & Checkout-Checkout step - place order,Y,screen,PurchaseRequest,PurchaseRequest
