ID,Area,Feature,Description,PCB,System,InScope,Usage#,Name,Type,Complexity,NewMod,NoOfUnits,WP,Adjustor,Comments,Functional assumptions
Analytics and Reporting-Customer Experience Management,Analytics and Reporting,Customer Experience Management,,Custom,Backoffice,N,1,Customer Experience Management,commerce business modules,medium,new,1,WP 1,100%,,
Cart & Checkout-Approval Process,Cart & Checkout,Approval Process,is a workflow management system that allows your customers to define purchasing and clearance limits within their Company Account structure,B2B,Frontend,N,1,Approval Process,configuration objects type 1,medium,modified,1,WP 1,100%,,
CRM-Case/Tech Support,CRM,Case/Tech Support,,Custom,Frontend,N,1,Case/Tech Support,commerce business modules,medium,new,2,WP 1,100%,,
Cart & Checkout-Cart Functionality & Calculations,Cart & Checkout,Cart Functionality & Calculations,"Add and remove products by simply selecting the desired quantity on PDP and PLP.
Persistent cart",Base,Frontend,Y,1,Cart Functionality & Calculations,configuration objects type 3,simple,modified,1,WP 1,100%,https://docs.spryker.com/docs/pbc/all/cart-and-checkout/202307.0/base-shop/cart-feature-overview/cart-feature-overview.html,
Cart & Checkout-Cart page,Cart & Checkout,Cart page,"Landing page to manage a cart. Edit qty/remove items, add note per item, redeem code, totals, merchandizing areas (e.g. Similar products)",Base,Frontend,Y,1,Cart page,configuration objects type 3,medium,modified,1,WP 1,100%,,
Cart & Checkout-Checkout step - customer,Cart & Checkout,Checkout step - customer,"Management of Login, Register or Checkout as a guest",Base,Frontend,Y,1,Checkout step - customer,configuration objects type 3,simple,modified,1,WP 1,100%,https://docs.spryker.com/docs/pbc/all/cart-and-checkout/202307.0/base-shop/extend-and-customize/checkout-steps.html ,
Cart & Checkout-Checkout step - delivery & billing addresses,Cart & Checkout,Checkout step - delivery & billing addresses,"Assigning delivery address to cart item; addresses may differ
Selection of one billing address;
Address book for logged in users",Base,Frontend,Y,1,Checkout step - delivery & billing addresses,configuration objects type 3,medium,modified,1,WP 1,100%,,
Cart & Checkout-Checkout step - payment,Cart & Checkout,Checkout step - payment,Allow user to choose payment method from multiple payment methods,Base,Frontend,Y,1,Checkout step - payment,configuration objects type 3,medium,modified,1,WP 1,100%,,
Cart & Checkout-Checkout step - place order,Cart & Checkout,Checkout step - place order,Information on placed order,Base,Frontend,Y,1,Checkout step - place order,configuration objects type 3,medium,modified,1,WP 1,100%,,
Cart & Checkout-Checkout step - split delivery,Cart & Checkout,Checkout step - split delivery,Splitting the marketplace order into different shipments based on merchants who will process them (checkout step);,Marketplace,Frontend,N,1,Checkout step - split delivery,configuration objects type 1,simple,modified,1,WP 1,100%,https://docs.spryker.com/docs/pbc/all/order-management-system/202307.0/base-shop/order-management-feature-overview/split-delivery-overview.html ,
Cart & Checkout-Checkout step - success,Cart & Checkout,Checkout step - success,Success information on placed order,Base,Frontend,N,1,Checkout step - success,configuration objects type 3,medium,modified,1,WP 1,100%,,
Cart & Checkout-Checkout step - shipment,Cart & Checkout,Checkout step - shipment,Selection of delivery address and delivery time,Base,Frontend,Y,1,Checkout step - shipment,configuration objects type 3,medium,modified,1,WP 1,100%,,
Cart & Checkout-Comments Widget,Cart & Checkout,Comments Widget,With the flexible Comments Widget you are free to decide where in your web shop comments should be allowed.,Base,Frontend,N,1,Comments Widget,commerce business modules,Complex,New,1,WP 1,100%,,
Cart & Checkout-Custom Order Reference,Cart & Checkout,Custom Order Reference,Custom Order Reference allows B2B customers to add a reference to an external system on the order,B2B,Frontend,N,1,Custom Order Reference,commerce business modules,Complex,New,1,WP 1,100%,,
Cart & Checkout-Download cart items,Cart & Checkout,Download cart items,Download cart item list as CSV or Excell,Custom,Frontend,N,1,Download cart items,commerce business modules,simple,new,1,WP 1,100%,"Only one, CSV, format is estimated. ",
Cart & Checkout-Global thresholds,Cart & Checkout,Global thresholds,Set a minimum/maximum order value for any of products,Base,Backoffice,N,1,Global thresholds,configuration objects type 1,Medium,New,1,WP 1,100%,,
Cart & Checkout-Configuration of non-splittable products,Cart & Checkout,Configuration of non-splittable products,"In the import file, you can set three values for quantity restrictions: minimum, maximum, and interval. The minimum value defines the smallest allowable quantity of a specific item in the cart. The maximum quantity restricts the allowable quantity of items in the cart to a specific value. The interval value determines an increment value by which the quantity can be changed.",Base,Backoffice,N,1,Configuration of non-splittable products,configuration objects type 1,simple,modified,1,WP 1,100%,https://docs.spryker.com/docs/pbc/all/cart-and-checkout/202311.0/base-shop/feature-overviews/non-splittable-products-feature-overview.html,
Cart & Checkout-Multi Cart,Cart & Checkout,Multi Cart,"Logged in users may have multiple carts and switch between them.
Possible actions to manage shopping carts: edit name, duplicate, share, dismiss, delete, switch cart to the shopping list",B2B,Frontend,N,1,Multi Cart,configuration objects type 1,medium,modified,1,WP 1,100%,https://docs.spryker.com/docs/pbc/all/cart-and-checkout/202307.0/base-shop/multiple-carts-feature-overview.html,
Cart & Checkout-Persistent Cart Sharing,Cart & Checkout,Persistent Cart Sharing,"The Persistent Cart Sharing feature lets company users generate the URL to share the cart with different access levels.
Customers can share a Cart with users in their department or a lower ranking Business Unit",B2B,Frontend,N,1,Persistent Cart Sharing,configuration objects type 3,simple,modified,1,WP 1,100%,https://docs.spryker.com/docs/pbc/all/cart-and-checkout/202307.0/base-shop/persistent-cart-sharing-feature-overview.html ,
Cart & Checkout-Quick Add to Cart,Cart & Checkout,Quick Add to Cart,Quickly order items by typing the product’s SKU and its quantity or via CSV upload,B2B,Frontend,N,1,Quick Add to Cart,configuration objects type 3,simple,modified,1,WP 1,100%,https://docs.spryker.com/docs/pbc/all/cart-and-checkout/202307.0/base-shop/cart-feature-overview/quick-order-from-the-catalog-page-overview.html,
Cart & Checkout-Checkout step - summary,Cart & Checkout,Checkout step - summary,Review of a checkout page,Base,Frontend,Y,1,Checkout step - summary,configuration objects type 3,medium,modified,1,WP 1,100%,,
DAM-WebConfig,DAM,WebConfig,WebConfig ABB,Custom,Frontend,N,1,WebConfig,commerce business modules,medium,new,1,WP 1,100%,,
CMS-CMS Templates & Slots,CMS,CMS Templates & Slots,"Templates and Slots lets content managers effectively and coherently interact with content using a dedicated template in Spryker—a template with slots. In the Back Office, a content manager has access to all the Storefront pages and can easily embed content into them. The embedded content is rendered by the Slot Widget.",Base,Backoffice,N,1,CMS Templates & Slots,commerce presentation components,medium,modified,1,WP 1,100%,https://docs.spryker.com/docs/pbc/all/content-management-system/202307.0/base-shop/cms-feature-overview/templates-and-slots-overview.html ,
CMS-Content Creation Workflows/Approvals ,CMS,Content Creation Workflows/Approvals ,Content Creation Workflows/Approvals ,Custom,Backoffice,N,1,Content Creation Workflows/Approvals ,commerce business modules,complex,modified,1,WP 1,100%,,
CMS-Content Item,CMS,Content Item,"The Content Items feature lets admins create and preserve small content pieces. Later, they are inserted into CMS blocks and, subsequently, into Storefront pages. Content items are rendered on Storefront using Content Item Widget.",Base,Backoffice,N,1,Content Item,configuration objects type 1,simple,modified,1,WP 1,100%,https://docs.spryker.com/docs/pbc/all/content-management-system/202307.0/base-shop/content-items-feature-overview.html,
CMS-Navigation,CMS,Navigation,"A navigation element is a page section that contains links to shop resources, as well as external resources.
Tree structure to support multiple levels of linking to a range of sources",Base,Frontend,Y,1,Navigation,configuration objects type 3,medium,modified,1,WP 1,100%,https://docs.spryker.com/docs/pbc/all/content-management-system/202307.0/base-shop/navigation-feature-overview.html#navigation-element,
CMS-Product Sets,CMS,Product Sets,"Storefront user can select variants per product in a set, add an individual or all products from the set to cart.
A Back Office user can add product sets to any page by creating a product set content item and adding it to CMS pages and blocks.",Base,Backoffice,N,1,Product Sets,configuration objects type 1,simple,modified,1,WP 1,100%,https://docs.spryker.com/docs/pbc/all/content-management-system/202307.0/base-shop/product-sets-feature-overview.html,
CMS-URL Redirects,CMS,URL Redirects,create content redirects to increase store's search engine visibility,Base,Backoffice,N,1,URL Redirects,configuration objects type 3,simple,new,1,WP 1,100%,,
CMS-CMS Pages / Landing Pages,CMS,CMS Pages / Landing Pages,"HTML page that you can create and edit in the Back Office using the WYSIWYG editor. 
Implementes page templating, validity period, store relation and content widgets.",Base,Backoffice,N,1,CMS Pages / Landing Pages,commerce presentation components,simple,new,6,WP 1,100%,https://docs.spryker.com/docs/pbc/all/content-management-system/202307.0/base-shop/cms-feature-overview/cms-pages-overview.html#cms-page-template,
CRM-Case Management/Ticketing Visibility,CRM,Case Management/Ticketing Visibility,CRM integration for Case Management/Ticketing Visibility,Custom,Frontend,N,1,Case Management/Ticketing Visibility,configuration objects type 1,simple,new,1,WP 1,100%,"Integration with SalesForce. Only frontend effor estimated.
See ""Storefront Case Management/Ticketing Visibility""",
