ID,Name,Description,System,VisualType,Parent,OOTB_Custom,inScope,Usage#,flowchart TD,Comments,Type,Complexity,NewMod,NoOfUnits,WP,Adjustor
ABB Item Form,ABB Item Form,,Frontend,Page,MyProfile,Custom,N,1,ABB Item Form[ABB Item Form] ; MyProfile --> ABB Item Form,- Create New Case [form],commerce presentation components,medium,new,4,WP 2,100%
ABBItemDetails,ABB Item Details,,Frontend,Page,MyProfile,Custom,N,1,ABBItemDetails[ABB Item Details] ; MyProfile --> ABBItemDetails,"- View Case Details
- Pending Registrations [tab]
- Historic Confirmations [tab]",commerce presentation components,medium,new,5,WP 2,100%
ABBItemsList,ABB Items List,,Frontend,Page,MyProfile,Custom,N,1,ABBItemsList[ABB Items List] ; MyProfile --> ABBItemsList,"- Cases [list]

- Pending Registrations [tab]
- Historic Confirmations [tab]
",commerce presentation components,medium,new,5,WP 2,100%
Checkout,Checkout Pages,,Frontend,Page,Cart,OOTB,Y,10,Checkout[Checkout Pages] ; Cart --> Checkout,Order Confirmation,commerce presentation components,medium,modified,1,WP 22,100%
CreateNewCase,Create New Case,,Frontend,Page,Cases,Custom,Y,1,CreateNewCase[Create New Case] ; Cases --> CreateNewCase,Create New Case,commerce presentation components,medium,new,1,WP 22,100%
ViewCaseDetails,View Case Details,,Frontend,Page,Cases,Custom,Y,1,ViewCaseDetails[View Case Details] ; Cases --> ViewCaseDetails,View Case Details,commerce presentation components,medium,new,1,WP 22,100%
Shipment,Shipment,,Frontend,Component,Checkout,OOTB,Y,1,Shipment(Shipment) ; Checkout --> Shipment,,commerce presentation components,medium,modified,1,WP 22,100%
CompanyAddress,Company Addresses,Customer Adress information,Frontend,Component,CompanyProfile,OOTB,Y,1,CompanyAddress(Company Addresses) ; CompanyProfile --> CompanyAddress,,commerce presentation components,medium,modified,1,WP 21,100%
CompanyStructure,Company Business Unit Structure,Business Unit structure,Frontend,Component,CompanyProfile,OOTB,Y,1,CompanyStructure(Company Business Unit Structure) ; CompanyProfile --> CompanyStructure,,commerce presentation components,medium,modified,1,WP 21,100%
BckAdmPanel,Admin Panel,Admin Panel to operate store / marketplace,Backoffice,Page,,OOTB,N,46,BckAdmPanel[Admin Panel],,commerce presentation components,medium,modified,1,WP 21,100%
BckCommision,Commision management,,Backoffice,Component,BckMerchantProfile,OOTB,N,0,BckCommision(Commision management) ; BckMerchantProfile --> BckCommision,,application pages,Simple,modified,1,WP 2,100%
BckMerchantProfile,Merchant Profile,Merchant (Seller) master data,Backoffice,Page,BckAdmPanel,OOTB,N,9,BckMerchantProfile[Merchant Profile] ; BckAdmPanel --> BckMerchantProfile,,application pages,Simple,modified,1,WP 2,100%
MyProfile,User Profile Page,"Customer users (Name, Surname, eMail, Role)",Frontend,Page,CompanyProfile,OOTB,Y,12,MyProfile[User Profile Page] ; CompanyProfile --> MyProfile,Account Details,commerce presentation components,medium,modified,1,WP 21,100%
BuyBox,Buy Box,Pricing information from multiple sellers,Frontend,Component,PDP,OOTB,N,0,BuyBox(Buy Box) ; PDP --> BuyBox,,commerce presentation components,Simple,modified,1,WP 2,100%
UserManagement,User Management,,Frontend,Page,CompanyProfile,OOTB,Y,1,UserManagement[User Management] ; CompanyProfile --> UserManagement,Management,commerce presentation components,medium,modified,1,WP 21,100%
CaseManagementWidget,Case Management/Ticketing Visibility widget,Case Management/Ticketing Visibility widget,Frontend,Component,TopMenu,Custom,N,1,CaseManagementWidget(Case Management/Ticketing Visibility widget) ; TopMenu --> CaseManagementWidget,JS to be embed ,commerce presentation components,simple,new,1,WP 2,100%
ViewManageDelegations,View/Manage Delegations,,Frontend,Page,CompanyProfile,OOTB,Y,1,ViewManageDelegations[View/Manage Delegations] ; CompanyProfile --> ViewManageDelegations,View/Manage Delegations,commerce presentation components,medium,modified,1,WP 21,100%
KeywordSearch,Keyword search,,Frontend,Component,DocumentationSearch,Custom,Y,1,KeywordSearch(Keyword search) ; DocumentationSearch --> KeywordSearch,Keyword search,commerce presentation components,simple,new,1,WP 21,100%
Breadcrumbs,Breadcrumbs,,Frontend,Component,Footer,OOTB,Y,1,Breadcrumbs(Breadcrumbs) ; Footer --> Breadcrumbs,Breadcrumbs,commerce presentation components,simple,modified,1,WP 21,100%
Header,Header,,Frontend,Component,Header,OOTB,Y,1,Header(Header) ; Header --> Header,Header,commerce presentation components,medium,modified,1,WP 21,100%
CMS,CMS,Static CMS pages,Frontend,Page,Home,OOTB,N,1,CMS[CMS] ; Home --> CMS,,commerce presentation components,medium,new,5,WP 2,100%
AboutUs,About Us,,Frontend,Page,Home,Custom,Y,1,AboutUs[About Us] ; Home --> AboutUs,About Us,commerce presentation components,simple,new,1,WP 21,100%
Banner,Banner,,Frontend,Component,Home,OOTB,Y,1,Banner(Banner) ; Home --> Banner,"Marketing banners
(generic in Ph. 1, personalized in Ph.2)",commerce presentation components,simple,modified,1,WP 21,100%
CompanyLogin,Company Login,,Frontend,Page,Home,OOTB,Y,1,CompanyLogin[Company Login] ; Home --> CompanyLogin,Partner Portal - Sign In,commerce presentation components,simple,modified,1,WP 21,100%
CompanyProfile,Company Profile Page,"Customer master data (Company Name, Tax Code)",Frontend,Component,Home,OOTB,Y,1,CompanyProfile(Company Profile Page) ; Home --> CompanyProfile,Partner Portal - Account Details,commerce presentation components,medium,modified,1,WP 21,100%
CompanyRegistration,Company Registration Page,"Page where prospect can provide company data (name, tax code, address) and initiate veryfication / onboarding process.",Frontend,Page,Home,OOTB,Y,1,CompanyRegistration[Company Registration Page] ; Home --> CompanyRegistration,Partner Portal - Create Account,commerce presentation components,medium,modified,1,WP 21,100%
CompanyResetPasswordForm,Company Reset Password Form,,Frontend,Page,Home,,Y,1,CompanyResetPasswordForm[Company Reset Password Form] ; Home --> CompanyResetPasswordForm,Partner Poral - Reset Password,commerce presentation components,simple,modified,1,WP 21,100%
CookieConsent,"Cookie Notice, Terms, Privacy Compliance",Styling of the widget regardless of if generated localy or integrated (eg. One Trust),Frontend,Component,Home,OOTB,Y,1,"CookieConsent(Cookie Notice, Terms, Privacy Compliance) ; Home --> CookieConsent",Cookies,commerce presentation components,simple,modified,1,WP 21,100%
CustomerRegistration,Customer Registration Page,,Frontend,Page,Home,OOTB,Y,1,CustomerRegistration[Customer Registration Page] ; Home --> CustomerRegistration,Create Account,commerce presentation components,medium,modified,1,WP 21,100%
DocumentationSearch,Documentation Search,,Frontend,Page,Home,Custom,Y,1,DocumentationSearch[Documentation Search] ; Home --> DocumentationSearch,Documentation Search,commerce presentation components,medium,new,1,WP 21,100%
Customer Experience Management,Customer Experience,,Frontend,Page,MyProfile,Custom,N,1,Customer Experience Management[Customer Experience] ; MyProfile --> Customer Experience Management,,commerce presentation components,medium,new,1,WP 22,100%
Footer,Footer,,Frontend,Component,Home,Custom,Y,2,Footer(Footer) ; Home --> Footer,Footer,commerce presentation components,simple,modified,1,WP 21,100%
DiscountCoupon,Discount Coupon,,Frontend,Component,Cart,OOTB,N,1,DiscountCoupon(Discount Coupon) ; Cart --> DiscountCoupon,,commerce presentation components,Simple,modified,1,WP 2,100%
LoginForm,Login form,Special Login forms can be customized to needs,Frontend,Page,Home,OOTB,Y,1,LoginForm[Login form] ; Home --> LoginForm,Sign In,commerce presentation components,simple,modified,1,WP 21,100%
Marketplace,Marketplace,,Frontend,Page,Home,Custom,Y,1,Marketplace[Marketplace] ; Home --> Marketplace,Marketplace,commerce presentation components,medium,new,1,WP 21,100%
PrivacyPolicy,Privacy Policy,,Frontend,Page,Home,Custom,Y,1,PrivacyPolicy[Privacy Policy] ; Home --> PrivacyPolicy,Privacy Policy,commerce presentation components,simple,new,1,WP 21,100%
ProductFinder,Product Finder,,Frontend,Page,Home,Custom,Y,1,ProductFinder[Product Finder] ; Home --> ProductFinder,Product Finder,commerce presentation components,medium,new,1,WP 21,100%
ResetPasswordForm,Reset Password Form,,Frontend,Page,Home,,Y,1,ResetPasswordForm[Reset Password Form] ; Home --> ResetPasswordForm,Reset Password,commerce presentation components,simple,modified,1,WP 21,100%
ShippingAndDelivery,Shipping And Delivery,,Frontend,Page,Home,Custom,Y,1,ShippingAndDelivery[Shipping And Delivery] ; Home --> ShippingAndDelivery,Shipping & Delivery,commerce presentation components,simple,new,1,WP 21,100%
GoodsReceiptNote,Goods Receipt Note,,Frontend,Component,OrderHistoryPage,Custom,N,0,GoodsReceiptNote(Goods Receipt Note) ; OrderHistoryPage --> GoodsReceiptNote,,commerce presentation components,Simple,modified,1,WP 2,100%
TermsAndConditions,Terms And Conditions,,Frontend,Page,Home,Custom,Y,1,TermsAndConditions[Terms And Conditions] ; Home --> TermsAndConditions,Terms & Conditions,commerce presentation components,simple,modified,1,WP 21,100%
MiniCart,Mini Cart Component,Minicart component shown as popup,Frontend,Component,Home,OOTB,Y,1,MiniCart(Mini Cart Component) ; Home --> MiniCart,Shopping cart,commerce presentation components,medium,modified,1,WP 22,100%
PurchaseRequest,Purchase Request,Purchase Request document (company internal),Frontend,Page,Home,OOTB,Y,1,PurchaseRequest[Purchase Request] ; Home --> PurchaseRequest,Order / Quote Request Confirmation,commerce presentation components,simple,modified,1,WP 22,100%
TopMenu,Top Menu,Top menu,Frontend,Component,Home,OOTB,Y,1,TopMenu(Top Menu) ; Home --> TopMenu,Header-Navigation,commerce presentation components,simple,modified,1,WP 22,100%
Resources,Resources,,Frontend,Page,MyProfile,Custom,Y,1,Resources[Resources] ; MyProfile --> Resources,Resources,commerce presentation components,simple,new,1,WP 21,100%
InventoryDetails,Inventory,Inventory (stock) information,Frontend,Component,PDP,Custom,N,0,InventoryDetails(Inventory) ; PDP --> InventoryDetails,,commerce presentation components,Simple,modified,1,WP 2,100%
Invoices,Invoice,Invoice data (as xml/json),Frontend,Component,OrderHistoryPage,OOTB,N,1,Invoices(Invoice) ; OrderHistoryPage --> Invoices,Documents,commerce presentation components,simple,new,1,WP 22,100%
